State	Model	DGtau1	DGtaudag	Kdiss(instance0)	Kdiss(instance1)	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho	
7175000	4	-4.7643274041	8.6492756196	112.6693207219	33.7035029073	0.1394823174	0.6414024607	133.2432950066	18.9341202247	15.7515949996	13.5000456048	29.508644727	24.9815804674	21.7790835293	38.8901122199	33.5906335621	29.4371427127	48.3309139223	42.2825222869	60.7074414944	53.7938264696	48.6888847142	76.3626916745	69.3982027221	63.5882526799	101.6119495514	97.1059917193	93.2376743505	8.51891	4.78781	
7180000	4	-5.0168371649	9.9709126226	122.0202113445	60.2692561998	0.0411028559	0.9125372947	130.0774933259	18.6387190751	15.8787149054	14.0000811364	28.9749418201	24.9240185538	22.3274811347	38.4926807595	33.4325729802	29.9380910774	47.1505475608	42.226980678	59.7300626291	53.7398209148	49.2550151298	74.7871327379	68.7034595583	63.9933939237	100.3097537502	95.8870097924	92.8996452545	6.763672	4.678612	
7185000	5	-4.9839921788	8.6167729351	61.8982814588	1.090815699	1.0958244915	1.8588534579	131.2401066461	18.7980424336	15.9938581185	14.0521369366	29.3560393131	25.2838896492	22.377301401	38.8060653457	33.746294806	30.5197385453	47.9313516024	42.1812255281	59.9285682687	53.8915628248	49.3106963852	75.4128327696	69.426150666	64.7700750219	101.5107815115	96.593161794	92.6320255339	8.460124	4.720059	
7190000	4	-5.1301788835	8.7714823586	121.847111167	4.3653798858	1.0124496214	2.324026579	126.4753173117	18.6497574307	16.0760138742	14.2994341442	29.0409693779	25.4760444536	22.7177586416	38.3485479766	33.8375179546	30.4462217401	47.2045098991	42.0901465273	58.6500673258	54.1315996704	49.2858330027	73.4028503582	68.5356186799	63.7274964736	98.1058054251	94.172113627	91.7395973057	9.507884	4.831048	
7195000	4	-5.17900634	9.1520642771	123.1935590223	8.2513764469	0.1963984586	0.1900008764	126.8719622464	18.8693539591	16.1858410847	14.3829520447	29.2298361215	25.6381779322	22.9967534542	38.3789240084	34.0502877785	30.9490957947	47.3722527123	42.5963708001	59.6292220277	54.1267287876	50.1682190896	74.178157958	69.0511157325	64.7175929374	98.4258959473	94.9678462945	91.490709116	9.800231	4.812589	
7200000	4	-5.037179104	10.2466161174	118.7646787333	9.0825815008	6.3632702244	2.8334839361	127.3860186451	18.6903589385	16.1246643184	14.2288872712	29.171500191	25.3088560214	22.4612538639	38.8587815467	33.5608281991	30.2433771123	47.2113225302	42.4183997254	59.6579522698	53.4727989275	49.2387938452	74.2319562298	68.1904909391	63.9610974192	98.6995079177	94.6942207031	91.0753874644	6.786399	4.791206	
7205000	4	-4.8746638901	7.0312028546	108.4884632934	8.9407859812	0.0531243946	2.5732173728	128.1908298769	19.5425619164	16.3475778705	14.1678087871	30.2802156325	25.9815106383	22.6700931864	39.8218278771	34.5431156499	30.7585051698	48.8835374352	42.7618091013	60.6737657564	54.9353092677	49.7695771964	75.8654566459	69.6190492046	64.672086059	100.4427930332	95.3275878992	92.5854215351	7.456901	4.625124	
7210000	4	-4.8204853205	7.9076777633	100.6744367547	1.6668030076	0.052939546	0.9838956666	123.8137960286	19.7155929208	16.542855173	14.5265581184	30.5612608469	26.1347441771	22.8079879693	40.0789851018	34.7665287292	30.4298642181	48.7682549757	43.1648955572	60.5578501504	54.3277437102	49.2056594182	74.9116013077	68.8574121008	64.3184565803	98.5607418101	93.6285730954	90.4629766852	8.805695	4.689924	
7215000	4	-4.6136935446	9.3888224912	100.7194674236	6.7033419051	1.1036749662	3.084683637	131.5009213136	19.8107022645	15.993833622	13.7778127221	30.5896347994	25.4206168075	22.1663864794	40.3452668347	33.9668895247	29.9450851344	49.7189723689	42.7031597762	61.9584856453	54.4369041999	49.0821691205	77.0147072622	69.721353383	64.2851814098	103.0341362348	96.9606976305	92.6443975564	9.301468	4.801355	
7220000	4	-4.7648498867	8.9449572562	99.7695419914	1.7643838341	0.1212466808	2.4048337944	125.9071708943	19.9095981472	16.719220348	14.3857869344	30.589161913	25.7216111808	22.4720712105	40.2545873851	34.8827606444	31.0540486546	49.4407164735	43.1172661332	61.2326322748	54.9307498996	49.6007780673	76.0416629063	69.5979442019	64.1221794472	99.4161068282	95.4423405409	91.2419833433	9.749385	4.703851	
7225000	5	-5.0070566242	7.2241086492	32.9109184225	2.801557276	1.1009664386	1.1400629085	129.3861541808	18.759686803	15.7655770038	14.0902231635	29.3428712825	25.0345582601	22.3606635796	38.5961802476	33.7380506581	30.1659897695	47.6248928515	42.4217717551	59.8227402464	53.6373964188	49.3846771392	74.4894254321	68.7556900927	63.912488845	100.4590479823	95.7048049488	92.1008913478	6.19456	4.770453	
7230000	5	-4.8923553278	8.460224587	18.3523308772	7.037340425	1.2291265124	0.5459563084	130.5670898299	19.3007191172	16.1439621614	14.0809272963	29.9539885429	25.4495957548	22.5901907058	39.6261595559	34.2167882213	30.6137925031	49.1868442694	42.9796138312	61.250808061	54.411575254	49.5946321295	76.4980878332	69.969337025	65.28119729	101.4524577674	97.198608773	92.988172293	5.689817	4.786511	
7235000	5	-5.0118894913	10.258460115	67.64446734	4.77042537	1.0923440643	0.9668786309	131.7470650159	18.3682307206	15.74634373	13.8614779669	28.8531990137	24.8787535527	22.000023777	38.1784014198	33.1512014548	29.707820541	46.9160103014	41.9472357028	59.2461721459	53.4405353721	49.0099786852	74.5454233364	68.9294418063	64.1386810655	101.1459994554	96.539591859	92.9987827177	8.30812	4.820971	
7240000	5	-4.8050851167	7.9389469937	128.9735984114	3.034829318	1.2486981055	0.1264186118	127.1306392159	19.5788785397	16.3376522325	14.1402630343	30.1861210614	25.8008312166	22.6452344253	39.8468582673	34.328960235	30.3918640116	48.9645979138	42.7901138775	60.8830037139	54.3350768112	49.1173740458	75.8015484849	69.0295957197	64.0707943399	99.9751625862	95.7497108354	90.9322030628	8.867487	4.659636	
7245000	5	-4.7497036404	8.9660264679	169.3855292916	0.4094304398	1.2032188521	2.5360834068	133.5553115794	19.1881043859	15.8313514882	13.6832367844	30.0053498423	25.1674934242	21.8618497525	39.4691073845	33.6466465642	29.4917596147	48.9377379579	42.1570531858	61.332870158	54.3481470313	48.6113236704	76.5284021097	69.8411050651	64.3745178839	102.7012311456	97.8157460843	93.8917942194	7.836255	4.67064	
7250000	5	-5.0254234458	9.5320133361	143.6445352262	7.3688057926	1.1929077833	0.3484817483	123.9133370378	19.249319181	16.390452185	14.476301267	29.7367919709	25.8514924075	23.040817053	39.2266239442	34.506037058	30.7237674394	47.843306811	42.9802408614	59.6355079022	53.8458380366	49.839672514	74.4656361725	68.6207881382	64.4429787022	97.2408782875	93.8608817012	90.5788281933	9.201227	4.794711	
