State	Model	DGPost	GDagSlide	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	logPrior	chiSquared	
27400000	11	-1.8531250132	4.986039558	96.2971285416	0.0752134677	3.1832132924	26.127875173	6.563761	8.113101	9.81342	12.017788	16.465052	18.376132	19.549452	20.714176	21.539608	22.484418	6.249532	7.708559	9.686614	13.878363	15.699105	16.932947	18.016762	18.879374	20.010379	0.25972	0.511059	1.00585	1.930245	3.573737	7.352029	16.659599	19.766646	22.388791	1.800695	2.334725	4.026589	4.88819	5.567657	6.236898	6.715713	7.529733	0.209484	0.287425	0.502101	0.619649	0.718186	0.821621	0.910892	1.039558	-11.831887	2.358454	
27440000	11	-2.0185045881	5.0469671148	103.2849738605	0.7131488253	3.2574197633	26.2985240003	6.39658	7.98484	9.740822	11.923151	16.409733	18.313049	19.6321	20.634198	21.458095	22.499798	6.218727	7.715751	9.713737	13.90486	15.703807	16.994043	18.020677	18.930702	20.000298	0.251785	0.499582	0.976006	1.888344	3.501254	7.167914	16.54365	19.800279	22.292482	1.919775	2.559954	4.120193	4.96465	5.608767	6.172246	6.707314	7.375941	0.224426	0.309539	0.51566	0.634938	0.729587	0.821686	0.894556	1.0012	-12.024094	2.368149	
27480000	11	-1.9735740964	5.0537734356	98.1556322619	0.0224541261	3.2021082708	25.8584364129	6.414877	7.990703	9.686472	11.795967	16.258787	18.06963	19.258786	20.42536	21.24725	22.216123	6.243942	7.715988	9.671143	13.733341	15.486632	16.768306	17.882032	18.790401	19.940749	0.258015	0.510247	1.00232	1.926307	3.534412	7.298454	16.474302	19.550345	22.008617	1.894886	2.545466	4.171227	4.992366	5.627009	6.211097	6.712072	7.442974	0.225334	0.304912	0.517678	0.642282	0.736791	0.825209	0.908467	1.033109	-12.731044	2.36128	
27520000	11	-1.9460905826	5.0887278031	97.3197688681	0.9226640108	3.1009961506	26.0729974901	6.488137	7.983536	9.613062	11.800387	16.228581	17.982362	19.253208	20.307379	21.100659	22.236559	6.220321	7.67097	9.678179	13.681401	15.431066	16.827641	17.830362	18.777594	19.88331	0.261235	0.514137	1.010325	1.959372	3.591208	7.338306	16.56441	19.60532	22.088735	1.900948	2.528971	4.140698	5.025534	5.646258	6.222674	6.771982	7.510028	0.223939	0.304935	0.521306	0.646197	0.745299	0.833629	0.921686	1.041264	-12.029057	2.383615	
27560000	11	-1.9228016355	5.0734755162	102.5458554686	1.4112634067	3.0989512763	26.8039479833	6.551039	7.997195	9.692833	11.890496	16.38898	18.262077	19.648315	20.65631	21.657307	22.720134	6.230116	7.690378	9.651389	13.819329	15.660083	16.978587	18.125414	19.028753	20.093816	0.253712	0.500692	0.987993	1.892538	3.499337	7.275165	16.609718	19.886815	22.583937	1.856329	2.448965	4.083483	4.904051	5.559189	6.224905	6.703528	7.412036	0.215596	0.290567	0.503902	0.628188	0.724545	0.815782	0.892287	1.017058	-12.324949	2.36153	
27600000	11	-1.9546165151	5.0987265037	102.2918669799	4.2905137275	3.2124867194	26.6023972554	6.241048	7.778256	9.476161	11.695779	16.276166	18.204438	19.591134	20.715526	21.596837	22.718975	6.110403	7.579748	9.517227	13.740316	15.645432	16.97573	18.147262	18.957184	20.064968	0.254446	0.502946	0.978967	1.890763	3.515673	7.278664	16.626501	19.841266	22.316422	1.858368	2.504284	4.064284	4.907251	5.552448	6.15715	6.686348	7.386593	0.218036	0.299727	0.512152	0.625882	0.725545	0.815714	0.896804	1.020063	-13.402559	2.386527	
27640000	11	-1.9357285844	4.9864714227	100.230228451	0.4294371936	3.2621193815	26.0143718449	6.551405	8.075678	9.811006	11.986917	16.498401	18.26292	19.613983	20.564868	21.438747	22.496963	6.273393	7.738363	9.735599	13.857128	15.639895	16.935509	18.008169	18.883428	19.872498	0.252834	0.49854	0.971149	1.865574	3.491034	7.193114	16.489216	19.49522	22.264771	1.839507	2.470601	4.062748	4.88068	5.576152	6.113201	6.718938	7.370562	0.216195	0.293075	0.502772	0.620997	0.714688	0.810913	0.895011	1.012348	-11.78318	2.338521	
27680000	11	-1.95190791	5.0013625001	97.4715103466	0.0560294999	3.3207002504	25.7244605792	6.396016	7.949069	9.726336	12.024291	16.402667	18.333058	19.425044	20.472676	21.21135	22.211508	6.247148	7.744088	9.75157	13.92282	15.652257	16.9841	17.882391	18.823566	19.82841	0.256828	0.507448	1.002595	1.917765	3.56735	7.242519	16.554285	19.629636	22.045638	1.884097	2.51312	4.095833	4.985587	5.620327	6.218302	6.682338	7.493606	0.221183	0.299828	0.51552	0.641289	0.737547	0.820793	0.914095	1.027708	-12.066445	2.343075	
27720000	11	-2.0024862446	5.1075215339	100.1093301414	0.1600592388	3.1476627491	26.1790081495	6.41637	7.842311	9.518601	11.778167	16.075454	17.982764	19.190406	20.343653	21.152441	22.284064	6.195852	7.675022	9.634612	13.671402	15.572733	16.822394	17.857012	18.82646	19.844792	0.255264	0.513274	0.997906	1.91425	3.540541	7.244718	16.495317	19.597515	22.046913	1.919513	2.601411	4.152254	5.004736	5.630236	6.244036	6.767545	7.409854	0.229491	0.310644	0.524585	0.652626	0.74152	0.832541	0.914974	1.025636	-11.712459	2.363895	
27760000	11	-1.9144879911	5.0127559609	93.1369140596	1.2736581684	3.3283357592	25.6151217361	6.407385	7.997782	9.732867	11.967961	16.361705	18.206947	19.396772	20.430683	21.170857	22.255039	6.227512	7.679282	9.711542	13.868762	15.681039	16.919455	18.116675	18.886522	19.958834	0.266221	0.524583	1.0355	1.974883	3.642446	7.396289	16.537258	19.632659	22.009773	1.893514	2.564731	4.185297	5.08803	5.708749	6.349533	6.864589	7.601282	0.222195	0.305896	0.525662	0.653591	0.750301	0.849104	0.935205	1.06236	-12.214537	2.379656	
