State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	chiSquared	
16150000	5	-4.1896303334	2.6093293643	15.1164492608	1.2921393392	2.6690752993	126.3276542045	19.233585	16.389446	14.362318	29.62554	25.720863	22.605147	38.928042	34.215754	30.814127	48.17727	43.018429	60.28443	54.03288	49.839357	74.85023	69.124556	63.980181	99.168268	94.435356	91.791408	-9.94478	4.590587	
16160000	5	-3.9526362247	3.7230695298	14.9983764432	1.4810641825	3.1505199425	126.36129391	19.960931	16.523103	14.28229	30.585685	25.804196	22.759798	40.318896	34.424847	30.557817	49.394172	43.097484	61.139594	54.278336	49.597205	75.742132	69.397684	64.361701	99.626394	95.536075	91.035391	-10.366995	4.498042	
16170000	5	-4.0120979766	-0.5913530627	13.9132917869	1.3629859757	2.8085364082	129.5246322551	19.234245	16.176724	13.92987	30.061492	25.378126	22.360816	39.637195	34.092699	29.946358	48.59355	42.172929	60.738518	53.957546	49.185033	75.839522	69.315244	64.292322	100.853222	97.043969	91.901425	-12.513292	4.533206	
16180000	5	-3.9413729489	4.197876602	11.2717356181	1.3863099962	2.4894659527	125.9609284272	19.409656	16.214291	13.93151	30.11722	25.280063	22.112582	39.420422	33.877596	29.952413	48.520848	42.473586	60.421692	53.415396	48.435559	74.864545	68.434177	63.26559	99.722108	93.966272	90.401115	-10.619802	4.562377	
16190000	5	-3.956426591	1.4731522539	13.5166977402	1.43157134	2.4228219832	127.5123658681	19.655189	16.271266	14.086684	30.407942	25.577557	22.430415	40.345806	34.421095	30.534698	49.05044	42.872113	60.976367	54.229102	49.32525	75.726446	68.908434	64.174796	100.28263	95.723782	91.347014	-10.207361	4.623995	
16200000	5	-4.0731347291	2.0115084959	14.9099905091	1.3844365005	0.9103575099	125.5438051704	19.587743	16.499979	14.266347	30.112986	25.754755	22.846179	39.640763	34.305072	30.885273	48.841032	42.820204	60.634537	54.401689	49.760793	75.020531	68.876549	64.091376	98.766356	94.458863	91.270499	-10.003564	4.559436	
16210000	5	-3.9079540157	4.1103773179	12.7722394184	1.412860626	1.061265901	129.3010403858	19.387854	15.909625	13.61446	30.128962	25.689655	21.989662	39.606507	33.820049	29.694183	48.748633	42.034951	60.811468	53.743747	48.707621	75.733632	68.572277	63.350544	100.776292	95.908785	91.585228	-10.605596	4.584299	
16220000	5	-3.9478363761	1.8449174281	17.9741667529	1.5454145113	2.8809561711	125.8856230905	19.992668	16.537512	14.27489	30.604989	26.055111	22.649436	40.188355	34.730943	30.581502	49.323169	42.743753	61.109099	54.348304	49.621913	75.970026	69.276193	64.283851	99.518097	94.566773	90.851063	-10.160775	4.58498	
16230000	5	-3.8751663757	3.7801992004	13.9274187767	1.4664578639	0.5528180134	127.4621995546	19.378084	16.007651	13.675625	29.979652	25.244045	21.925052	39.744866	33.946595	29.861573	48.438047	41.678924	60.587679	53.312023	48.357619	75.537676	68.560703	62.841891	99.876138	94.831063	90.854908	-10.369424	4.617273	
16240000	5	-3.9230663719	2.5893608307	22.1619409327	1.5239095964	2.483046713	128.9284882978	19.183605	15.853463	13.550211	29.896402	24.943172	21.538259	38.69383	33.236306	29.414135	48.121957	41.484374	60.089443	53.029748	48.002627	74.903533	67.835156	62.530198	99.57125	95.196013	91.073883	-10.137185	4.517068	
16250000	5	-4.0088789194	1.1225799376	12.4628613757	1.3960396884	0.3702629152	126.5174371291	19.845427	16.469568	14.34384	30.221728	26.083083	22.561171	40.108366	34.543452	30.645624	49.091029	42.858465	61.474516	54.31472	50.033477	75.302044	69.28554	63.936391	99.432156	95.14037	91.447434	-10.403134	4.470599	
16260000	5	-4.0219452057	2.4051250301	16.0185125513	1.3589439019	2.3052161861	130.5524962228	19.008945	15.981229	13.697233	29.512272	25.112111	22.236494	39.277124	33.775865	29.578529	48.478354	42.140449	60.644254	53.618651	48.518253	75.601605	68.95695	63.353021	100.4145	95.863688	92.505735	-9.982844	4.604333	
