State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	logPrior	rho
4093	12	-4.8792628934	4.4946333655	52.3237819137	1.1280438214	3.3670272317	28.1392399105	13.267714	15.220555	16.726316	17.955073	21.788624	22.933129	23.895533	24.487856	25.076525	12.14746	12.621094	12.961016	13.25398	13.404064	-16.245466	0.682453
4094	12	-5.4238586412	4.6000117462	52.2324486995	1.0671849002	3.2397170933	28.5195690738	13.024087	15.099765	16.443525	17.438448	21.503421	22.817424	23.955595	24.506037	25.198009	12.199738	12.630026	12.973504	13.246277	13.506535	-17.26592	0.666978
4095	12	-4.5198479736	4.6377417883	59.7644454127	1.5801770017	3.0089802927	29.1885422176	13.359405	15.31714	16.6286	17.887869	21.516826	23.109969	23.829861	24.783044	25.575858	12.031818	12.688083	13.102434	13.316251	13.632646	-15.723023	0.665282
4096	12	-4.5996327852	4.7530043392	48.7045747144	1.0419957698	2.5768760699	29.2972743952	13.433388	15.120652	16.37648	17.313309	20.960906	22.503505	23.611534	24.405155	25.096907	12.086304	12.588171	12.964833	13.462795	13.720231	-15.344089	0.701429
4097	12	-4.5655787633	4.7565425665	48.9753963852	0.9309546371	2.607764023	29.7487071299	13.52009	15.086291	16.444423	17.464099	21.102437	22.699335	23.6709	24.438074	25.487196	11.812344	12.415912	12.944224	13.259442	13.563287	-15.210418	0.703572
4098	12	-5.063385323	4.7891018768	46.6364546974	0.8570411866	2.6565143544	30.3493320173	13.505745	15.183864	16.5098	17.516353	21.408105	22.838767	24.089336	24.768914	25.913756	12.169844	12.675451	13.021405	13.511292	13.727231	-16.102367	0.690326
4099	12	-5.573006097	4.8049692231	40.4859345718	0.7870070365	2.5845019641	30.2722651133	13.610682	15.231539	16.342343	17.56039	21.196868	22.612083	23.884173	24.76766	25.848409	12.402294	12.934411	13.32545	13.634008	13.983098	-17.086964	0.704933
4100	12	-5.5764856585	4.8185193694	46.3749098584	0.7738540954	2.7825396781	30.7254561372	13.045373	14.811579	16.075733	17.4635	21.379077	22.840564	24.267084	25.079305	26.003555	12.139433	12.650481	13.033696	13.463468	13.601813	-17.15937	0.696566
4101	12	-5.2997120771	4.7524550037	42.446731397	0.7472106299	2.7209486971	30.1066938708	13.381341	15.129826	16.483812	17.580274	21.558075	22.711585	23.850245	24.981592	25.59461	12.072311	12.74372	13.104437	13.394962	13.65363	-16.512744	0.698745
4102	12	-4.799565464	4.6071607051	37.6309403262	0.7589461193	3.0738632592	28.7873691908	13.328495	15.123192	16.545969	17.857096	21.8178	22.908871	23.834023	24.565896	25.544859	12.364734	12.779859	13.286469	13.56061	13.80324	-15.533502	0.674382
4103	12	-3.9375499763	4.5524799916	35.9512554631	0.7809753182	3.048593255	28.4362808519	13.388493	15.27358	16.587017	17.706349	21.503734	22.867534	23.707339	24.287263	25.178733	11.843897	12.580832	13.116888	13.542036	13.893987	-14.011293	0.682421
4104	12	-3.9561774368	4.5865497234	38.1466138239	0.7727583524	3.1366141916	29.0262551556	13.114741	15.054121	16.473148	17.816873	21.783505	23.119833	24.159446	24.776427	25.610364	11.819344	12.558364	13.033326	13.469508	13.718578	-14.030983	0.681696
4105	12	-4.4045714334	4.6903219138	43.3925086362	0.936528197	2.8106147877	29.0869335248	13.436205	15.102193	16.450116	17.618816	21.198771	22.626435	23.655723	24.626944	25.320057	12.155679	12.728367	13.257512	13.593386	13.762887	-14.895172	0.691259
4106	12	-4.370259351	4.6564772963	37.7812837924	0.7343514269	3.0088162852	29.1279582857	13.165867	14.975428	16.357623	17.545951	21.544416	22.834894	23.941894	24.806795	25.684124	11.982155	12.5484	13.123092	13.414497	13.66451	-14.652185	0.695397
4107	12	-4.1930784126	4.5738745856	36.1748499696	0.7278264359	2.9848971932	28.8161065457	13.570381	15.448189	16.719359	18.050525	21.675519	23.151562	23.808114	24.689235	25.406228	11.92679	12.613951	12.960061	13.327643	13.767186	-14.387912	0.670715
4108	12	-5.2430943102	4.5407066817	40.4297780517	0.7845902945	3.1002444369	27.9031029176	13.528494	15.277683	16.493853	17.873453	21.231181	22.579084	23.32366	23.941233	24.88903	12.148138	12.664522	13.038406	13.289366	13.416961	-16.594267	0.686985
4109	12	-4.5383357564	4.5458420116	28.1548379956	0.620762775	3.3915969896	27.8116230179	12.75145	14.687793	16.100031	17.546688	21.557734	22.790101	23.659436	24.490565	25.06628	12.142631	12.689005	13.082105	13.353289	13.62152	-14.854291	0.666556
4110	12	-4.5284230027	4.5695974857	31.566505386	0.7228813996	3.1591625053	28.1684778922	13.312055	15.195432	16.348176	17.782042	21.422042	22.682376	23.806987	24.263655	25.171475	12.388051	12.980509	13.381573	13.728989	13.942007	-14.930935	0.650895
4111	12	-5.4043552892	4.8006826922	48.9043213822	0.9317576401	2.9078500227	29.961949025	12.839167	14.475917	15.862621	17.180703	21.459006	22.796851	23.996699	24.946377	25.787166	12.22164	12.76204	13.257711	13.528772	13.796595	-16.915297	0.692597
4112	12	-4.5933270939	4.6438274275	32.7284053999	0.7399889608	3.1870839489	28.5278489231	12.819231	14.686593	16.113021	17.391944	21.322569	22.811338	23.72582	24.553085	25.295433	12.503165	13.056567	13.430666	13.810432	13.962364	-15.009615	0.694401
4113	12	-4.6422205317	4.5918329316	28.2136618576	0.6640344242	3.1662868353	28.1784252738	13.15668	14.976571	16.38695	17.736522	21.43405	22.640882	23.746008	24.477478	25.1137	12.409299	13.081985	13.367368	13.751099	14.103006	-15.031921	0.697974
4114	12	-4.5822292696	4.5603822747	32.6861834035	0.7087770103	3.1096345792	28.6522904275	13.420546	15.377327	16.716917	18.002042	21.660837	23.022313	24.069886	24.779155	25.301749	12.387122	12.905539	13.461544	13.686648	13.973535	-15.045934	0.69655
4115	12	-5.3745871637	4.5982719028	33.5862360451	0.6932994766	3.2525647963	28.1916658141	13.020261	14.852536	16.429645	17.769454	21.483589	22.781746	23.770582	24.455635	25.242218	12.421043	12.879226	13.339457	13.519639	13.756169	-16.660243	0.68135
4116	12	-4.5700498226	4.5869723043	51.1394430308	1.0633598891	3.0865725217	28.9277516879	13.286894	15.192718	16.565033	17.979609	21.631606	22.873478	24.121256	24.776963	25.446885	12.044759	12.544936	13.08052	13.254549	13.544554	-15.482133	0.697499
4117	12	-3.7155777483	4.5409001018	36.7466545061	0.8983504295	3.1798791695	28.6439736636	13.259125	15.22046	16.491962	17.918209	21.804877	23.143732	24.175979	24.793063	25.459802	12.074042	12.787808	13.577545	13.899002	14.18552	-13.753255	0.699397
