State	Model	DGPost	GDagSlide	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	logPrior	chiSquared	
8200000	12	-3.9902271347	4.5157215405	0.8075006979	0.4155782763	3.398606212	27.9838672008	12.921501	14.984954	16.370245	17.727124	21.600176	22.977278	23.944281	24.505838	25.239358	12.228061	12.904618	13.480493	13.783722	14.244511	-14.101789	0.699641	
8300000	12	-3.8186759338	4.5518319757	0.7544068775	0.4088069198	3.3011447039	28.4679038414	12.991596	14.969599	16.298872	17.733633	21.529767	23.040618	24.06439	24.693239	25.450837	11.952106	12.648271	13.34705	13.718854	14.080273	-13.822069	0.683749	
8400000	12	-4.4964247585	4.6827430469	20.9588335956	0.5216289474	2.7571262363	28.9992797686	13.608584	15.306557	16.289772	17.634955	21.136963	22.384452	23.572148	24.355252	25.158887	12.034556	12.625527	13.011358	13.393978	13.630255	-14.440874	0.691545	
8500000	12	-4.731771457	4.6141353338	5.4239081682	0.4058359733	3.3057034069	28.8963170081	12.845457	15.003735	16.291204	17.718917	21.752657	23.094594	23.987802	24.902124	25.596586	12.236346	12.773426	13.259989	13.632348	13.857474	-14.65619	0.692211	
8600000	12	-4.799017693	4.4671276735	0.3692842165	0.3858890309	3.3496701291	27.4614543522	13.316485	15.298105	16.578659	17.912337	21.554105	22.637369	23.408184	24.237374	24.723098	12.28755	12.752154	13.225114	13.452824	13.640009	-16.240472	0.704662	
8700000	12	-3.843347408	4.4716302115	3.5268361686	0.4318986001	3.2759921211	27.6434195574	13.280031	15.091447	16.482594	17.848396	21.517223	22.690509	23.644637	24.146481	24.745396	12.062728	12.678059	13.197419	13.687057	14.019254	-13.296729	0.687277	
8800000	12	-4.8394292094	4.5742194356	13.1933367557	0.4594005855	3.2816837552	28.9273373739	13.110613	15.076189	16.582003	17.846542	21.943428	23.438995	24.300336	25.025217	25.85204	12.437968	12.91158	13.333439	13.705093	13.889452	-15.024657	0.684457	
8900000	12	-4.933842914	4.5898843765	1.721391612	0.3703121337	3.2507436066	28.9537615875	13.097441	14.967384	16.531478	17.932861	21.900283	23.083002	24.322766	24.680302	25.626323	12.172689	12.700584	13.08116	13.364823	13.565527	-15.333991	0.665962	
9000000	12	-5.6041982618	4.6214027215	16.7801784301	0.4513451729	3.0867744251	28.5554395724	13.302546	15.088117	16.443438	17.734994	21.386175	22.586109	23.770673	24.312314	25.276115	12.073708	12.636135	12.823157	13.13244	13.363096	-16.706521	0.688551	
9100000	12	-4.5862010981	4.5947800729	21.6824965477	0.4956380393	3.0553622098	28.9190760775	13.379626	15.276261	16.65481	17.893822	21.515844	23.054969	23.96617	24.639908	25.57611	11.993023	12.48977	12.839944	13.151955	13.434684	-14.688371	0.690872	
9200000	12	-5.1621475269	4.7321074261	16.5712589576	0.5011090601	2.7958961703	29.4096455764	13.419773	15.077009	16.310901	17.672478	21.268125	22.618936	23.852902	24.676767	25.369982	12.418899	12.899664	13.422366	13.726282	14.005116	-15.639208	0.677849	
9300000	11	-5.2879155258	4.6110008589	74.5283953086	0.2468041479	3.1098580502	28.7182559006	13.308434	15.169168	16.481228	17.987655	21.470541	22.775674	24.040158	24.589379	25.536159	12.442773	12.926144	13.273415	13.750229	13.929802	-16.728252	0.702513	
9400000	11	-4.1723849952	4.4946418648	72.5347775809	5.4044018546	3.3999073535	28.1105655751	13.096801	15.112781	16.477026	17.843684	21.686562	22.979391	24.045908	24.754265	25.391743	12.08687	12.695668	13.189953	13.527606	13.827455	-16.651603	0.675067	
9500000	11	-4.9884356553	4.7135064555	79.8468598839	0.1113563359	2.934407715	29.2943519991	13.240039	14.880623	16.107845	17.560954	21.357869	22.67766	23.754833	24.805945	25.551604	12.079653	12.594293	12.926138	13.346406	13.583912	-16.141798	0.654573	
9600000	11	-4.1320059785	4.5115016021	68.5750518412	0.0012900608	3.3894645989	27.9303699349	13.017641	14.929064	16.345717	17.767759	21.781272	22.826659	23.929093	24.582644	25.067281	12.218549	12.868581	13.413249	13.777068	13.925015	-19.792433	0.671506	
9700000	11	-4.3965229721	4.582147641	76.7492965507	0.0280173277	3.1546023992	28.7053788212	13.097948	15.044974	16.358723	17.914408	21.700746	22.862442	24.020157	24.705325	25.555246	11.979625	12.575111	13.060496	13.302647	13.663092	-15.839548	0.688733	
9800000	11	-3.8621327899	4.6636088483	73.0052699043	0.0624883411	3.0562937885	29.2313054312	12.894466	14.747074	16.11191	17.565215	21.437823	22.970714	24.112382	24.894453	25.620646	12.000521	12.685331	13.269952	13.749816	14.108449	-14.265574	0.701777	
9900000	12	-3.9305697163	4.5861533404	51.9214217823	1.284088841	3.0734304297	28.8285917707	13.298032	15.18728	16.333631	17.866842	21.605665	22.900637	24.061422	24.650842	25.603049	11.840556	12.582415	13.054963	13.461671	13.680323	-14.486934	0.657353	
10000000	12	-4.447723155	4.5717610728	21.9024589307	0.5230154095	3.2262820227	28.8175186111	13.201562	15.05837	16.54688	17.851249	21.757975	23.00765	24.237479	24.847509	25.575854	12.068556	12.576553	13.129296	13.461457	13.654431	-14.473013	0.688238	
10100000	12	-4.460212944	4.6094020829	37.5479198504	0.7161361885	3.0074195838	28.7044470636	13.359838	15.201928	16.361015	17.746466	21.380993	22.661625	23.668435	24.333947	25.444047	11.872227	12.551209	12.980462	13.295642	13.597321	-14.849363	0.68747	
