State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho
1172	5	-3.9233400266	2.9678713508	78.9333669172	6.2882065542	0.7597096246	124.840571229	19.599371	16.271699	14.061865	30.384739	25.57766	22.381258	39.922077	34.214011	30.446199	49.145056	42.577504	60.13609	53.845009	49.378495	75.293164	68.494865	63.690675	99.979552	93.684351	91.355695	-12.410214	4.578175
1173	5	-3.9092831995	0.562619601	2.4538777076	1.2998580534	2.3906905801	127.0191612612	19.744284	16.438843	14.107482	30.548423	26.246816	22.130903	40.405254	34.503713	30.600486	49.268171	42.585467	61.306515	54.662625	49.053693	76.213634	68.924171	64.271292	100.547451	96.151897	91.92568	-10.901459	4.570599
1174	5	-3.8436172957	1.6084960256	15.1961117638	1.5266028552	2.3981770296	125.6334990817	19.815575	16.188826	13.850464	30.114189	25.341407	21.921798	39.801149	33.82976	29.553154	48.572264	41.849529	60.371425	53.275944	48.167309	75.063381	68.744328	63.159929	99.561464	94.51101	89.613954	-10.170019	4.332459
1175	5	-3.913546655	0.3921188447	8.8897604623	1.3456926081	1.2120948481	128.6278964429	19.384269	16.023213	13.670937	29.923293	24.963818	21.890525	39.823985	33.424788	29.79782	48.711586	42.142278	60.37638	53.872963	48.711291	75.494695	68.636258	63.212973	100.075183	95.732675	91.61385	-11.004013	4.46423
1176	5	-3.8785581951	3.0061626098	34.9300682361	1.8916679919	0.1858836394	128.788382	19.431848	15.950733	13.712975	30.22654	25.182979	21.88767	39.6008	34.051993	29.948631	48.986754	41.731007	61.102857	53.268153	47.963278	75.650372	68.688184	64.145147	100.322802	95.283554	91.043878	-10.583347	4.511318
1177	5	-3.83599851	1.5885985411	30.6759086324	1.8124067324	2.9144724734	130.2845921133	19.450948	15.907588	13.362926	30.155246	25.177203	21.766547	40.144857	33.620256	29.272554	48.718314	42.152246	60.738399	53.671224	48.355414	75.54228	69.13982	63.698848	101.506609	96.514602	91.416093	-10.639386	4.513616
1178	5	-4.1525419334	4.0528672628	47.6175311997	1.8068212384	0.9291793941	131.9439232825	18.917888	16.01769	13.962453	29.076666	25.362378	22.441507	38.850154	33.893221	29.97027	48.032087	42.412753	60.07563	53.80771	49.798342	75.205323	69.90858	65.507693	101.864665	95.893594	92.850426	-11.428097	4.572531
1179	5	-3.9716207223	2.2098487939	34.5869161674	1.8731844834	0.5293490716	126.7438830794	19.504967	16.47614	14.029462	30.504762	25.815786	22.608648	40.016759	34.447419	30.412582	48.540252	42.617382	60.859442	53.987613	49.845526	75.682077	70.175274	64.096944	99.361221	95.37326	91.315197	-10.526995	4.574145
1180	5	-3.9718351212	2.709565075	45.7877888937	2.1062039637	2.7097716771	128.9364717573	19.482864	16.072528	13.899104	29.714014	25.624441	21.927881	40.051824	33.836426	29.836891	48.509481	42.565903	60.674198	53.892778	48.626546	76.507806	68.707433	64.437667	100.275529	97.138345	92.581265	-10.806177	4.33623
1181	5	-3.8295606092	2.9988766996	44.5150873937	2.4290139809	1.4905478806	125.5345699438	19.671097	16.274859	13.828376	30.270506	25.379583	21.754878	40.027905	34.179622	29.486901	49.296115	42.056122	61.31029	53.360303	48.463761	74.808258	68.535204	62.748475	98.525967	94.442275	89.655281	-10.906109	4.573552
1182	5	-4.206883884	1.794908164	48.0909812404	1.8835057988	0.3342343054	127.1085766106	18.987355	16.398595	14.268031	29.857339	25.399549	22.733491	38.666521	33.952812	30.720504	47.757657	42.797232	59.472659	53.93064	49.789289	74.564144	68.696042	64.016563	99.211694	95.374339	92.374606	-10.922063	4.508054
1183	5	-3.9703566481	1.6599302546	45.9371177912	2.2596585302	0.2247512817	128.1873279151	19.928751	16.495615	14.332369	30.662852	25.944411	22.775223	40.485142	34.465589	30.92176	49.959002	43.321528	61.796481	54.259218	49.554353	76.533074	70.83979	65.376768	100.835043	96.207173	92.94384	-11.042945	4.592601
