State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	logPrior	rho
1712	11	-2.090096603	5.1523423165	103.9742591035	0.2104442059	3.1441377747	26.4526655007	6.308734	7.791368	9.440459	11.62379	16.054886	18.016301	19.299819	20.359641	21.358869	22.431012	6.205509	7.665625	9.637367	13.682156	15.638648	16.842871	17.984159	18.850744	19.947279	0.254611	0.503389	0.988146	1.900224	3.520136	7.195328	16.489858	19.70614	22.250849	1.97789	2.618796	4.24239	5.07385	5.704635	6.286558	6.785362	7.377682	0.235698	0.324062	0.543081	0.65449	0.756022	0.837418	0.914724	1.019907	-11.776335	2.387974
1713	11	-1.9629609257	5.0290713971	100.2684029235	0.3705975144	3.214976879	26.277980094	6.534436	8.062231	9.752201	11.984915	16.562133	18.377852	19.544898	20.690134	21.543133	22.629481	6.297892	7.725938	9.837107	13.9452	15.74684	17.034917	18.094295	18.955861	20.041454	0.248908	0.507276	0.990463	1.912439	3.514514	7.275484	16.614334	19.714679	22.32937	1.898834	2.537912	4.15813	4.994315	5.648174	6.20989	6.774054	7.442633	0.223905	0.30166	0.521751	0.635944	0.730092	0.828573	0.897954	1.026892	-11.743796	2.36465
1714	11	-2.0177787764	5.0858435715	102.4673206612	0.070035054	3.1451287915	26.3296777227	6.486218	7.959382	9.665825	11.798242	16.217913	18.153803	19.405269	20.39025	21.382399	22.533125	6.275915	7.800192	9.657844	13.780593	15.530947	16.865125	17.960522	18.836392	19.953239	0.253226	0.503201	0.987457	1.891018	3.513693	7.23589	16.515535	19.636718	22.123334	1.930579	2.609079	4.157613	5.005038	5.582304	6.192195	6.771974	7.397531	0.22593	0.30641	0.523908	0.644065	0.733037	0.82451	0.904318	1.009579	-11.998177	2.365781
1715	11	-1.9403548783	5.0622144427	101.2885679372	0.0102157295	3.1214296768	26.2782890992	6.510182	8.034135	9.675723	11.810672	16.218432	18.17946	19.42057	20.527706	21.3009	22.41147	6.193519	7.636366	9.639933	13.670967	15.556521	16.747396	17.94588	18.80749	19.866566	0.253477	0.500493	0.973422	1.890708	3.504622	7.161678	16.444543	19.631168	22.189102	1.832993	2.45837	4.062583	4.898241	5.489269	6.145576	6.662924	7.386913	0.213552	0.296409	0.502935	0.625074	0.724517	0.81023	0.891114	1.005359	-13.562818	2.367311
1716	11	-1.9461964122	5.0435639254	97.3432731118	0.0965900931	3.2431990072	26.1742130906	6.464209	7.912353	9.645423	11.873081	16.384635	18.368284	19.54459	20.60861	21.423807	22.544983	6.308845	7.714514	9.760957	13.864249	15.709309	17.048884	18.088352	18.942755	20.039415	0.261147	0.518385	1.011399	1.951833	3.597051	7.378689	16.794798	19.773708	22.219777	1.89256	2.553408	4.166823	5.011838	5.702798	6.32124	6.834966	7.567197	0.224554	0.309395	0.526647	0.645718	0.742334	0.838558	0.925542	1.049931	-11.788312	2.344303
1717	11	-1.9666720556	4.9843976631	99.7102691652	0.055582716	3.2721372557	25.9668570967	6.539267	8.11873	9.844353	12.144657	16.531651	18.37083	19.698702	20.675047	21.406655	22.348548	6.323911	7.817953	9.844361	13.911956	15.711846	16.995672	18.036903	18.891769	19.922699	0.255938	0.50122	0.990935	1.908247	3.484403	7.249431	16.506339	19.647901	22.159063	1.869652	2.525936	4.084795	4.993157	5.614046	6.149054	6.710569	7.417209	0.220408	0.300259	0.516514	0.630759	0.730582	0.820714	0.907086	1.012952	-12.10665	2.385581
1718	11	-1.9777391172	5.0272498314	102.3401111029	0.0440487602	3.3109354987	26.1083791598	6.386365	7.891001	9.612534	11.914125	16.403137	18.345156	19.60436	20.567812	21.490171	22.379251	6.205281	7.65805	9.72172	13.843943	15.640834	16.925102	17.970863	18.746391	19.867486	0.249879	0.49749	0.970872	1.870395	3.477761	7.146981	16.437648	19.680965	22.139431	1.844043	2.484466	4.086895	4.908858	5.529958	6.13701	6.647623	7.320496	0.218225	0.296983	0.503149	0.626662	0.718599	0.81063	0.886345	0.995197	-12.25302	2.388078
1719	11	-2.0667861274	5.0643998699	99.4005016043	1.9785824003	3.1081071	26.1317386162	6.653902	8.218515	9.905948	12.000294	16.433681	18.286703	19.459205	20.511628	21.396377	21.650806	6.493869	7.98983	9.916461	13.851436	15.749569	17.000461	18.023154	18.850976	19.872657	0.261755	0.517766	1.011449	1.952742	3.608116	7.362743	16.532729	19.648039	22.104498	2.026655	2.71349	4.342981	5.152393	5.844423	6.364929	6.818195	7.524667	0.240895	0.326545	0.548209	0.66931	0.763358	0.859524	0.933231	1.042631	-12.704525	2.375868
1720	11	-2.0640097817	5.0643995208	102.9540182747	1.3181493331	3.0970568906	26.0352888959	6.638448	8.117131	9.741849	11.897252	16.211948	18.004169	19.266094	20.247507	21.064891	22.121608	6.423432	7.850121	9.798777	13.807803	15.656538	16.752039	17.747982	18.667363	19.803631	0.25138	0.496338	0.974137	1.8787	3.464848	7.16166	16.41843	19.416856	22.041301	1.959089	2.595344	4.191096	5.041328	5.59128	6.160707	6.677162	7.329547	0.229967	0.315155	0.527674	0.649006	0.737438	0.819899	0.898779	0.997982	-12.415905	2.356713
1721	11	-2.0202679346	5.0459657995	101.6604819712	0.4286954068	3.1689183322	26.2775548116	6.581826	8.061968	9.796553	12.03746	16.410469	18.240614	19.638026	20.57196	21.370476	22.52409	6.383637	7.82624	9.842867	13.925864	15.688295	17.006743	18.073701	18.883124	19.992032	0.254759	0.508009	0.986825	1.907996	3.538286	7.257669	16.504951	19.757892	22.244425	1.945671	2.582328	4.195557	5.038556	5.673364	6.220391	6.735002	7.428391	0.22828	0.31143	0.525326	0.649708	0.731875	0.826701	0.905187	1.015456	-11.828828	2.384811
